otto_product_id,export_batch_id,asin,parent_asin,child_asin,amazon_url,product_title,brand,amazon_category,variation_attributes,amazon_price,coupon_detected,delivery_days,stock_status,rating,review_count,source_confidence_score,product_match_type,opportunity_type,marketplace_signal_sources,primary_discovery_source,secondary_discovery_sources,core_keyword,related_keywords,ebay_category_hint,demand_type,sell_within_30_days_confidence,stagnation_risk_score,demand_score,category_velocity_score,keyword_demand_score,competitor_success_score,saturation_score,trend_momentum_score,policy_risk_score,vero_risk_score,restricted_category_risk_score,ip_risk_score,edge_case_risk_score,fragility_score,variation_confusion_score,total_cost_estimate,predicted_monthly_profit_per_100_listings,final_validation_score,validation_status,validated_at
OTTO-58ff9b5b-ae9d-4e65-bef0-61265eb4d690,86255c31-14bd-4927-bd66-0889a3065607,B0DZC6CPNB,,,https://www.amazon.com/Klutch-Gladiator-Overhead-Garage-Storage/dp/B0DZC6CPNB/ref=sr_1_1,"Klutch Overhead Garage Storage Rack — Adjustable Height, 96in.L x 48in.D x 23–37in.H",Klutch,Tools & Home Improvement > Storage & Home Organization > Garage Storage > Storage Racks,,124.99,false,5,in_stock,4.3,26,82.86666666666667,exact,direct_match,ebay_browse_api,ebay_browse_api,,garage storage rack,,Other Home Organization,steady,84.19001015171798,25,74.0039335118251,64.37666666666665,100,65.42500000000004,41.46084337349397,88,0,0,0,0,0,0,0,141.7,0,82.35857645024545,validated,2026-05-24T20:24:05.977Z
OTTO-d06e3a0f-64cd-44ae-91a0-0d2d90ca4263,86255c31-14bd-4927-bd66-0889a3065607,B0DTY91JWP,,,https://www.amazon.com/OLIPIC-Rolling-Adjustable-Warehouse-Firewood/dp/B0DTY91JWP/ref=sr_1_2,"Tire Rack, Rolling Tire Storage Rack 60"" X 59"" X 21"", Adjustable Metal Rolling Tire Rack for Indoor/Outdoor Use Tire Rack for Garage Warehouse, Also Be Used for Firewood Rack",OLIPIC,Automotive > Tools & Equipment > Tire & Wheel Tools > Tire Repair Tools,,95.75,false,9,in_stock,5,2,77.31428571428572,similar,direct_match,ebay_browse_api,ebay_browse_api,,garage storage rack,,Other Home Organization,steady,71.86638955247649,25,71.0185061315496,36.54615384615385,100,60.8557692307692,45.85562987736901,92,0,0,0,0,0,0,0,108.59,0,77.4673193183628,validated,2026-05-24T20:24:20.551Z
OTTO-3e1d3d1d-7049-4168-994e-8e3b6f12c6e2,86255c31-14bd-4927-bd66-0889a3065607,B0F1YL7C2T,,,https://www.amazon.com/Management-Cord%E3%80%91%E3%80%90Enhanced-Organizer-Adjustable-Reusable/dp/B0F1YL7C2T/ref=sr_1_5,"Cable Management Under Desk, 【Up to 15 Cord】【Enhanced Wire Holder】 Cord Organizer, Adjustable Hook and Loop Cable Ties, Home Office Essentials, Cable Hider Clips Under Table, 20 Pair",fansto,Electronics > Accessories & Supplies > Cord Management > Cable Straps,,9.99,true,5,in_stock,4.5,609,76.55,similar,direct_match,ebay_browse_api,ebay_browse_api,,desk cable organizer,,Cable Ties & Organizers,high_velocity,85.0514372737399,25,72.14706906154274,49.47023809523808,100,60.714285714285694,45.526315789473685,86,15,0,0,0,20,0,0,11.46,0,78.87425880673908,validated,2026-05-24T20:27:31.801Z
OTTO-a2296ca7-9176-4158-9299-b5551f17e4f4,86255c31-14bd-4927-bd66-0889a3065607,B0DK13ZHNJ,,,https://www.amazon.com/Univivi-Management-Organizer-Premium-Fabric/dp/B0DK13ZHNJ/ref=sr_1_1,"Univivi No Drill Under Desk Cable Management Tray, 36"" Cord Organizer for Table, Clamp/Screw Mount Desk Cable Management, Premium Fabric Cable Management Tray for Office, Home",Univivi,Electronics > Computers & Accessories > Computer Accessories & Peripherals > Racks & Cabinets,,37.98,true,5,in_stock,4.7,590,91.65,exact,direct_match,ebay_browse_api,ebay_browse_api,,desk cable organizer,,Cable Carriers,steady,79.85290172597583,25,67.25502937107346,35.42723004694837,100,56.93661971830989,42.144315166360485,84,15,0,0,0,20,0,0,43.16,0,75.35788226622215,validated,2026-05-24T20:27:47.701Z
OTTO-67685186-ff01-4572-ac05-eede0a7df4fa,86255c31-14bd-4927-bd66-0889a3065607,B0B82MZVFG,,,https://www.amazon.com/NODOCA-Management-Punch-Free-Newest-Organizer/dp/B0B82MZVFG/ref=sr_1_10,"NODOCA No Drill Under Desk Cable Management Tray, 14'' Wire Management, Punch-Free Clamp on, Metal Cable Tray, Wire Organizer Under Desk, Under Desk Basket for Office and Home, Black",NODOCA,Electronics > Accessories & Supplies > Cord Management > Cable Raceways,,26.99,false,5,in_stock,4.5,1034,83.59420289855073,exact,direct_match,ebay_browse_api,ebay_browse_api,,desk cable organizer,,Cable Ties & Organizers,steady,81.33761373387378,25,69.85669816943378,49.61511111111111,100,58.719999999999956,38.896551724137936,84,15,0,0,0,20,0,0,30.72,0,76.84396338793566,validated,2026-05-24T20:29:47.308Z
OTTO-78a7c320-95b4-455e-8668-3ba10cf98155,86255c31-14bd-4927-bd66-0889a3065607,B0C95BJG5S,,,https://www.amazon.com/POUT-Universal-Under-Management-Organizer/dp/B0C95BJG5S/ref=sr_1_1,POUT Universal Wide Under Desk Cable Management Tray Organizer - 23.6 x 5.3 inch – for Wire/Cable Management - Hanging Easily Removable Rack with Cable Management Holes – Sturdy Stylish Black Steel,POUT,Electronics > Accessories & Supplies > Cord Management > Cable Raceways,,19.99,false,5,in_stock,4,67,84.56666666666666,exact,direct_match,ebay_browse_api,ebay_browse_api,,desk cable organizer,,Cable Ties & Organizers,steady,71.88489082519673,25,68.29283978082645,49.090229885057475,100,60.85344827586214,45.30311457174639,98,0,0,0,0,0,0,0,22.79,0,76.38260315988963,validated,2026-05-24T20:30:01.745Z
OTTO-4c9ee264-fff3-4fb9-b26e-f05cd75bf442,86255c31-14bd-4927-bd66-0889a3065607,B072XJT436,,,https://www.amazon.com/25pcs-Adhesive-Adjustable-Optional-Management/dp/B072XJT436/ref=sr_1_10,25 Pieces Desk Wire Organizer Cable Ties Zip Ties Adhesive Cord Clips Cable Management Cord Keeper Desk Wire Management,RayTour,Electronics > Accessories & Supplies > Cord Management > Cable Ties,,7.99,false,5,in_stock,4.5,3633,80.5,exact,direct_match,ebay_browse_api,ebay_browse_api,,desk cable organizer,,Cable Ties & Organizers,high_velocity,86.73976351170924,25,74.84855336591096,70.96757990867579,100,59.809646118721396,34.42321557317952,84,15,0,0,0,20,0,0,9.2,0,80.46135039987716,validated,2026-05-24T20:30:15.499Z
OTTO-53a34aa1-29bd-4b10-9b8a-bdb4f23acda5,86255c31-14bd-4927-bd66-0889a3065607,B0F5W7GDZB,,,https://www.amazon.com/Under-Desk-Cable-Management-Small/dp/B0F5W7GDZB/ref=sr_1_8,"Under Desk Cable Management Tray Small – Clamp-Mounted Wire Organizer & Cord Management Under Desk Rack, No-Drill Metal Cable Organizer for Home Office (Black)",QUELIEN,Electronics > Computers & Accessories > Computer Accessories & Peripherals > Racks & Cabinets,,16.99,true,5,in_stock,4.7,257,88.94736842105263,exact,direct_match,ebay_browse_api,ebay_browse_api,,desk cable organizer,,Cable Ties & Organizers,steady,76.1764469539767,25,65.11320734223963,35.22634408602151,100,54.61290322580657,43.85874877810362,88,0,0,0,0,0,0,0,19.39,0,76.39821702308888,validated,2026-05-24T20:30:56.148Z
OTTO-a21ba33f-00dd-45e8-ae85-77d01908b0a8,86255c31-14bd-4927-bd66-0889a3065607,B0GSNLFX8S,,,https://www.amazon.com/Organizer-Management-Sleeves-Scissors-Included/dp/B0GSNLFX8S/ref=sr_1_8,"314 Piece Cord Organizer & Cable Management Set, All in One Desk and TV Cable Management Kit with Clips, Sleeves, Ties, Mounts for Home Office Perfect Tech Organizer Scissors & Travel Case Included",Atticus Goods,Electronics > Accessories & Supplies > Cord Management > Cable Sleeves,,18.99,false,5,in_stock,4.7,8,84.26410256410257,exact,direct_match,ebay_browse_api,ebay_browse_api,,desk cable organizer,,Cable Ties & Organizers,steady,79.9524370845204,25,68.76365147198477,49.91987179487178,100,57.64423076923062,44.736467236467234,90,15,0,0,0,20,0,0,21.66,0,75.99119171415005,validated,2026-05-24T20:31:22.722Z
OTTO-6a49158d-dd85-4919-8c69-82653d9944a0,86255c31-14bd-4927-bd66-0889a3065607,B08GCJ9LHB,,,https://www.amazon.com/Goplus-Foldable-Kneeler-Portable-Pouches/dp/B08GCJ9LHB/ref=sr_1_2,"Goplus Garden Kneeler and Seat, Foldable Garden Bench for Kneeling & Sitting, Widened 8"" EVA Soft Foam Pad, Heavy-Duty Garden Stool w/ 2 Large Tool Pouches, Gardening Gift for Women Men Seniors",Goplus,"Patio, Lawn & Garden > Gardening & Lawn Care > Gloves & Protective Gear > Workseats",,40.98,false,8,in_stock,4.6,724,77.88399503722084,similar,direct_match,ebay_browse_api,ebay_browse_api,,garden kneeling pad,,"Garden Kneelers, Cushions & Seats",steady,72.00439366011288,25,67.51271232605355,45.24150943396226,100,57.575471698113084,44.71995245877284,86,0,0,0,0,0,0,0,46.56,0,76.10640302845529,validated,2026-05-24T20:31:48.596Z
