otto_product_id,asin,amazon_url,product_title,brand,amazon_price,delivery_days,raw_delivery_text,delivery_context,prime_signal_detected,prime_signal_source,fba_signal_detected,ships_from_amazon,sold_by_amazon,fulfilled_by_amazon,shipping_gate_result,shipping_review_required,sell_within_30_days_confidence,stagnation_risk_score,policy_risk_score,final_validation_score,would_list_yes_no,asin_real_yes_no,demand_makes_sense_yes_no,low_risk_yes_no,notes
OTTO-e66594ec-64e8-450a-bbe4-00c674da4397,B0DZC6CPNB,https://www.amazon.com/Klutch-Gladiator-Overhead-Garage-Storage/dp/B0DZC6CPNB/ref=sr_1_1,"Klutch Overhead Garage Storage Rack — Adjustable Height, 96in.L x 48in.D x 23–37in.H",Klutch,124.99,4,FREE delivery May 27 - 29. Details,public_guest_zip,false,,false,false,false,false,pass,false,83.94547686881022,25,0,82.23650698684035,,,,,
OTTO-dd687422-a54d-434b-9bc0-ba6d04893b91,B0DTY91JWP,https://www.amazon.com/OLIPIC-Rolling-Adjustable-Warehouse-Firewood/dp/B0DTY91JWP/ref=sr_1_2,"Tire Rack, Rolling Tire Storage Rack 60"" X 59"" X 21"", Adjustable Metal Rolling Tire Rack for Indoor/Outdoor Use Tire Rack for Garage Warehouse, Also Be Used for Firewood Rack",OLIPIC,95.75,8,FREE delivery May 29 - June 2. Details,public_guest_zip,true,prime_badge,false,false,false,false,pass,false,72.50262156714537,25,0,77.8874103048627,,,,,
OTTO-a6dd54bc-e7c8-40dc-927b-c533082b3045,B0F1YL7C2T,https://www.amazon.com/Management-Cord%E3%80%91%E3%80%90Enhanced-Organizer-Adjustable-Reusable/dp/B0F1YL7C2T/ref=sr_1_6,"Cable Management Under Desk, 【Up to 15 Cord】【Enhanced Wire Holder】 Cord Organizer, Adjustable Hook and Loop Cable Ties, Home Office Essentials, Cable Hider Clips Under Table, 20 Pair",fansto,9.99,4,"FREE delivery Friday, May 29 on orders shipped by Amazon over $35 Or fastest delivery Thursday, May 28. Order within 2 hrs 46 mins",public_guest_zip,true,prime_badge,false,false,false,false,pass,false,85.59973875661377,25,15,79.296773478836,,,,,
OTTO-72b13890-bd85-45c4-8919-5a87d160d010,B0C8N81CZY,https://www.amazon.com/Management-Organizer-Accessories-Workspace-Organizers/dp/B0C8N81CZY/ref=sr_1_9,"Under Desk Cable Management Tray White, No Drill Desk Cable Management Organizer with Clamp for Desk Wire Management, PC Cord Organizer Accessories & Workspace Organizers for Office, Home",Kaiferty,13.99,4,"FREE delivery Friday, May 29 on orders shipped by Amazon over $35. Order within 2 hrs 45 mins",public_guest_zip,true,prime_badge,false,false,false,false,pass,false,77.8163001972714,25,15,75.051785045357,,,,,
OTTO-4ca2d2d1-2517-48e1-b901-79c60a9ce8be,B0F42R9NYQ,https://www.amazon.com/Univivi-Management-Organizer-Premium-Fabric/dp/B0F42R9NYQ/ref=sr_1_4,"Univivi No Drill Under Desk Cable Management Tray, 36"" Cord Organizer for Table, Clamp/Screw Mount Desk Cable Management, Premium Fabric Cable Management Tray for Office, Home",Univivi,37.98,4,"FREE delivery Friday, May 29 Or fastest delivery Thursday, May 28. Order within 2 hrs 45 mins",public_guest_zip,false,,false,false,false,false,pass,false,79.92905471216051,25,15,75.41656486145858,,,,,
OTTO-f04294e0-2144-4d79-be6d-675a76855e5d,B08GCJ9LHB,https://www.amazon.com/Goplus-Foldable-Kneeler-Portable-Pouches/dp/B08GCJ9LHB/ref=sr_1_2,"Goplus Garden Kneeler and Seat, Foldable Garden Bench for Kneeling & Sitting, Widened 8"" EVA Soft Foam Pad, Heavy-Duty Garden Stool w/ 2 Large Tool Pouches, Gardening Gift for Women Men Seniors",Goplus,40.98,7,FREE delivery May 28 - June 1. Details,public_guest_zip,true,prime_badge,false,false,false,false,pass,false,73.65314244072917,25,0,76.67102708881255,,,,,
OTTO-1cc87f71-2e23-4bdf-bb88-62584624e28f,B0DS1QSHJL,https://www.amazon.com/Extra-Thick-Garden-Kneeling-Water-Resistant/dp/B0DS1QSHJL/ref=sr_1_1,"Extra Thick Garden Kneeling Pad - Foam Kneeling Pads for Gardening, Work & Exercise - Water-Resistant Knee Mat with Shock Absorbent Cushions for Baby Bath & Yoga, 17.2x11x1.5in, Black",fitply,10.99,7,"FREE delivery Monday, June 1 on orders shipped by Amazon over $35",public_guest_zip,true,prime_badge,false,false,false,false,pass,false,79.81512345679018,25,0,81.76847172441263,,,,,
OTTO-155dcc1f-dec5-4f6c-b970-93c8e59d8cf3,B0GHZNDHKP,https://www.amazon.com/Grenebo-High-Density-Kneeling-Gardening-17-3%C3%9711%C3%971-6/dp/B0GHZNDHKP/ref=sr_1_2,"Grenebo High-Density NBR Foam Garden Kneeling Pad, 1.6"" Extra Thick Gardening Pads for Kneeling, Ultra Soft Kneeling Pads for Gardening, Work, Exercise, Yoga, 17.3×11×1.6 in (2, Black)",Grenebo,20.99,4,"FREE delivery Friday, May 29 on orders shipped by Amazon over $35 Or fastest delivery Thursday, May 28. Order within 2 hrs 44 mins",public_guest_zip,false,,false,false,false,false,pass,false,78.15739463601533,25,0,78.89832950191573,,,,,
OTTO-ac168b4a-0fb1-43da-bd4e-3df186cd5730,B0D2X29NGL,https://www.amazon.com/HOOPLE-Kneeling-Gardening-Waterproof-Lightweight/dp/B0D2X29NGL/ref=sr_1_1,"HOOPLE Kneeling Pad for Gardening, Lightweight Foam Knee Cushion for Garden, Bath, Yoga & Exercise, Waterproof Comfort Kneeling Mat for Home, Garage & Outdoor Work, Black 14.6 x 11.5 x 0.7 Inch",HOOPLE,9.99,4,"FREE delivery Friday, May 29 on orders shipped by Amazon over $35. Order within 2 hrs 43 mins",public_guest_zip,true,"prime_badge,sold_by_amazon,fulfilled_by_amazon",true,false,true,true,pass,false,91.23665109546118,25,0,85.60160674088993,,,,,
OTTO-04eeb3c5-3d5a-4c68-98a9-5f47c8956b09,B0BCJQ31XZ,https://www.amazon.com/BTSKY-3-Layer-Organizer-Adjustable-Multipurpose/dp/B0BCJQ31XZ/ref=sr_1_3,BTSKY 3-Layer Plastic Dividing Storage Box Craft Organizer and Storage with Adjustable Spacers Portable Handled Art Supply Organizer Multipurpose Home Utility Box Organizer (Pink),BTSKY,20.99,4,"FREE delivery Friday, May 29 on orders shipped by Amazon over $35 Or fastest delivery Thursday, May 28. Order within 2 hrs 42 mins",public_guest_zip,false,,false,false,false,false,pass,false,91.97133022097726,25,0,86.70572088390912,,,,,
OTTO-07f8dad8-23c6-493e-9d5c-7682a1dc51f4,B0B6RCKQBS,https://www.amazon.com/Storage-Organizer-Plastic-Hardware-Component/dp/B0B6RCKQBS/ref=sr_1_2,"Parts Screws Storage Organizer, Plastic Hardware Art Craft Small Tool Parts Component Organizer Drawer Box 25 Drawers (Black)",whillar,23.99,4,"FREE delivery Friday, May 29 on orders shipped by Amazon over $35 Or fastest delivery Thursday, May 28. Order within 2 hrs 42 mins",public_guest_zip,true,prime_badge,false,false,false,false,pass,false,84.60588333343351,25,0,82.9003771579228,,,,,
OTTO-de911616-2c36-42a2-a65c-c5fcaeeb8139,B0FK3K1228,https://www.amazon.com/Multifunctional-Storage-Portable-Supplies-Organizers/dp/B0FK3K1228/ref=sr_1_1,"24QT Craft Storage Box with Removable Trays - Art Supply Organizer & Marker Organizer, Multi-Purpose Storage Bins with Lids for Playroom Storage, Board Game Storage & Craft Organizers and Storage",Generic,24.66,4,"FREE delivery Friday, May 29 on orders shipped by Amazon over $35 Or fastest delivery Thursday, May 28. Order within 2 hrs 42 mins",public_guest_zip,true,prime_badge,false,false,false,false,pass,false,74.4906009634368,25,0,79.46218946351347,,,,,
OTTO-d788cd1c-349c-47c6-884c-2ebb1c951d4d,B0D6VS8BQT,https://www.amazon.com/Gonice-Cabinet-Storage-Hardware-Organizer/dp/B0D6VS8BQT/ref=sr_1_1,"Gonice Craft Cabinet Organizer, 24 Drawer Plastic Parts Cabinet, Tool Storage Box for Screws, Nuts and Small Parts",Gonice,24.99,4,"FREE delivery Friday, May 29 on orders shipped by Amazon over $35. Order within 2 hrs 41 mins",public_guest_zip,true,prime_badge,false,false,false,false,pass,false,87.24890145801912,25,0,82.99229738562093,,,,,
