otto_product_id,asin,amazon_url,product_title,brand,amazon_price,delivery_days,raw_delivery_text,delivery_context,prime_signal_detected,prime_signal_source,fba_signal_detected,ships_from_amazon,sold_by_amazon,fulfilled_by_amazon,shipping_gate_result,shipping_review_required,competition_quality_score,exact_match_saturation_score,duplicate_listing_score,price_compression_score,seller_count,exact_or_similar_match_count,duplicate_ratio,competition_gate_result,competition_rejection_reason,sell_within_30_days_confidence,stagnation_risk_score,policy_risk_score,final_validation_score,would_list_yes_no,asin_real_yes_no,demand_makes_sense_yes_no,low_risk_yes_no,notes
OTTO-8aeb073b-1a6d-49f9-964b-b89a16b9bc4c,B04YRKHHHH,https://www.amazon.com/dp/B04YRKHHHH,Mock product B04YRKHHHH,OttoMock,24,2,,,,,,,,,,,97.5,,,,,,,,,78.57265211640211,20,0,84.89082175925925,,,,,
OTTO-c875ddcb-7f03-4a0e-ace9-e66781bfe66d,B05YRKHHHH,https://www.amazon.com/dp/B05YRKHHHH,Mock product B05YRKHHHH,OttoMock,24,2,,,,,,,,,,,97.5,,,,,,,,,78.57265211640211,20,0,84.89082175925925,,,,,
OTTO-e541ed49-8c6e-4e5b-aa4f-b2098491fb47,B06YRKHHHH,https://www.amazon.com/dp/B06YRKHHHH,Mock product B06YRKHHHH,OttoMock,24,2,,,,,,,,,,,97.5,,,,,,,,,78.57265211640211,20,0,84.89082175925925,,,,,
OTTO-121d0eac-4868-494f-b7f5-2c543e1dc15e,B07YRKHHHH,https://www.amazon.com/dp/B07YRKHHHH,Mock product B07YRKHHHH,OttoMock,24,2,,,,,,,,,,,97.5,,,,,,,,,78.57265211640211,20,0,84.89082175925925,,,,,
OTTO-734d5f04-1c8a-4f92-8873-4ef281dc68fa,B08YRKHHHH,https://www.amazon.com/dp/B08YRKHHHH,Mock product B08YRKHHHH,OttoMock,24,2,,,,,,,,,,,97.5,,,,,,,,,78.57265211640211,20,0,84.89082175925925,,,,,
OTTO-644a4235-a539-484f-b978-ce7630092473,B0FQAJHHHH,https://www.amazon.com/dp/B0FQAJHHHH,Mock product B0FQAJHHHH,OttoMock,24,2,,,,,,,,,,,97.5,,,,,,,,,78.57265211640211,20,0,84.89082175925925,,,,,
OTTO-a68147a0-7ef6-45a6-b60a-9c7f3997269b,B0GQAJHHHH,https://www.amazon.com/dp/B0GQAJHHHH,Mock product B0GQAJHHHH,OttoMock,24,2,,,,,,,,,,,97.5,,,,,,,,,78.57265211640211,20,0,84.89082175925925,,,,,
OTTO-59dd7f28-4b40-4ce3-b658-0931ce73662e,B0HQAJHHHH,https://www.amazon.com/dp/B0HQAJHHHH,Mock product B0HQAJHHHH,OttoMock,24,2,,,,,,,,,,,97.5,,,,,,,,,78.57265211640211,20,0,84.89082175925925,,,,,
OTTO-3f76dd55-a143-473a-8339-9cb7c8680659,B0JQAJHHHH,https://www.amazon.com/dp/B0JQAJHHHH,Mock product B0JQAJHHHH,OttoMock,24,2,,,,,,,,,,,97.5,,,,,,,,,78.57265211640211,20,0,84.89082175925925,,,,,
OTTO-a914e535-20c7-4ac5-9b4b-6b954aa8731b,B0KQAJHHHH,https://www.amazon.com/dp/B0KQAJHHHH,Mock product B0KQAJHHHH,OttoMock,24,2,,,,,,,,,,,97.5,,,,,,,,,78.57265211640211,20,0,84.89082175925925,,,,,
OTTO-c4c4bb8a-8cc8-4353-9ae3-9d92a887eccc,B0XGRJHHHH,https://www.amazon.com/dp/B0XGRJHHHH,Mock product B0XGRJHHHH,OttoMock,24,2,,,,,,,,,,,97.5,,,,,,,,,78.57265211640211,20,0,84.89082175925925,,,,,
OTTO-6ecdee07-a0c5-4730-bc11-6cb044b72658,B0YGRJHHHH,https://www.amazon.com/dp/B0YGRJHHHH,Mock product B0YGRJHHHH,OttoMock,24,2,,,,,,,,,,,97.5,,,,,,,,,78.57265211640211,20,0,84.89082175925925,,,,,
OTTO-bf47448b-ec26-4952-b511-8a076cf38953,B0ZGRJHHHH,https://www.amazon.com/dp/B0ZGRJHHHH,Mock product B0ZGRJHHHH,OttoMock,24,2,,,,,,,,,,,97.5,,,,,,,,,78.57265211640211,20,0,84.89082175925925,,,,,
OTTO-04b15193-3fda-43c9-bac3-161414678fe3,B02GRJHHHH,https://www.amazon.com/dp/B02GRJHHHH,Mock product B02GRJHHHH,OttoMock,24,2,,,,,,,,,,,97.5,,,,,,,,,78.57265211640211,20,0,84.89082175925925,,,,,
OTTO-d22d66f5-8240-47cd-82bc-c3d85f331e1e,B03GRJHHHH,https://www.amazon.com/dp/B03GRJHHHH,Mock product B03GRJHHHH,OttoMock,24,2,,,,,,,,,,,97.5,,,,,,,,,78.57265211640211,20,0,84.89082175925925,,,,,
OTTO-69041730-4b3d-4bd1-a9c3-dc7b2c7d521d,B0HTXHHHHH,https://www.amazon.com/dp/B0HTXHHHHH,Mock product B0HTXHHHHH,OttoMock,24,2,,,,,,,,,,,97.5,,,,,,,,,78.65122354497353,20,0,84.91046461640211,,,,,
OTTO-13254eed-5524-471e-ae9f-511c9dac4165,B0JTXHHHHH,https://www.amazon.com/dp/B0JTXHHHHH,Mock product B0JTXHHHHH,OttoMock,24,2,,,,,,,,,,,97.5,,,,,,,,,78.65122354497353,20,0,84.91046461640211,,,,,
